#OTU ID	31-Jan	18-Feb	05-Mar	19-Mar	05-Apr	19-Apr	08-May	22-May									
54595	655.9	850.4	1049.8	42.3	126.7	690.8	858.1	777.9									
38321	2245.9	631.9	859.8	33.9	38.3	115.3	68.8	65.4									
57263	57.4	108.8	110.2	35.2	104.9	443.6	593.3	307.9									
37371	34.8	134.0	164.8	394.8	692.1	158.8	79.9	69.3									
62677	233.1	385.2	397.6	11.9	14.0	21.7	75.2	261.1									
39687	293.8	256.3	214.9	8.6	12.4	148.7	163.4	212.7									
5294	15.1	83.9	199.9	5.0	27.6	198.6	651.0	69.7									
21429	136.1	82.3	73.4	2.6	12.4	134.9	238.3	77.9									
15631	30.4	46.9	56.0	9.4	60.2	117.9	222.7	196.9									
14719	527.5	141.8	25.9	2.2	2.1	0.9	4.8	7.3									
38319	115.8	192.1	335.2	34.4	11.4	0.4	3.0	20.0									
52276	131.6	236.7	163.7	6.3	3.8	4.6	15.2	129.1									
57003	20.3	73.7	77.6	20.1	99.6	172.1	107.7	56.0									
38823	60.5	55.4	65.3	229.2	147.2	9.4	1.9	1.3									
21613	69.9	17.1	9.8	12.0	30.4	114.7	139.3	171.1									
23654	14.3	33.8	47.7	2.7	18.4	143.9	185.1	108.7									
59913	21.5	9.8	3.3	1.4	2.7	2.8	96.1	342.7									
13284	2.5	12.3	6.8	1.1	9.2	171.6	242.8	15.7									
36208	1.8	15.8	16.8	3.3	29.7	348.4	2.1	12.6									
32670	11.8	29.1	24.1	5.3	12.1	116.7	135.4	93.7									
11777	18.3	72.6	71.8	95.9	95.2	4.7	8.1	26.2									
17621	6.4	96.2	113.3	13.3	5.3	16.3	25.0	91.0									
33447	55.5	104.6	50.3	2.8	7.4	38.7	53.0	47.3									
57820	188.6	56.2	69.9	7.1	5.0	12.3	5.9	7.9									
16158	37.6	67.2	47.7	3.7	16.3	69.2	63.8	45.0									
6698	2.9	20.6	17.7	0.7	5.7	89.2	140.9	61.0									
29670	20.6	84.0	119.1	18.3	10.8	67.9	11.9	1.3									
21296	4.0	62.6	81.9	10.2	21.1	114.1	27.7	7.6									
25687	231.1	13.8	11.8	1.6	3.4	14.0	11.1	8.2									
48417	8.3	83.7	59.9	3.8	7.4	19.0	74.0	36.9									
51294	3.6	10.0	11.6	10.8	32.7	90.0	94.8	24.2									
50778	0.5	12.6	28.4	13.6	88.0	49.9	77.9	6.8									
56156	10.5	15.1	14.8	3.8	6.9	48.3	82.8	85.4									
40622	13.1	29.2	58.0	3.0	21.7	65.2	33.8	27.7									
14325	74.9	29.8	45.6	1.3	5.2	37.2	24.3	25.8									
52284	2.8	6.2	9.7	36.4	123.1	29.3	23.0	12.9									
6009	13.8	24.7	28.7	14.2	21.9	41.9	66.2	25.1									
14721	22.8	83.4	107.9	6.9	1.7	7.2	1.7	3.9									
10464	5.9	10.0	15.0	6.0	8.3	56.4	90.2	41.2									
62281	5.4	10.0	9.9	3.0	13.3	50.3	109.2	23.9									
4653	18.8	21.3	12.9	1.7	1.9	40.0	61.9	63.2									
16864	0.1	7.1	17.9	105.6	27.0	12.2	7.9	25.2									
24968	0.8	3.6	4.0	0.7	2.4	2.9	6.2	170.6									
32165	0.3	2.2	3.1	7.3	76.1	98.2	0.1	2.0									
27231	3.1	11.7	12.6	1.8	9.1	28.7	90.8	29.2									
30073	4.5	13.2	13.2	6.6	17.6	32.3	50.9	48.4									
57605	12.4	13.3	13.4	20.7	61.6	28.8	26.8	7.7									
45104	49.5	16.1	26.7	2.2	5.2	20.3	23.2	38.8									
29216	22.3	24.0	34.0	1.7	1.8	21.3	30.0	35.9									
4712	1.0	6.3	13.1	1.9	3.1	25.9	75.4	43.6									
54624	36.0	42.4	16.9	1.4	3.0	8.6	40.7	18.2									
45311	1.5	31.3	14.9	0.9	2.2	3.8	73.8	37.2									
16942	17.8	30.9	31.6	1.7	4.9	34.6	28.6	10.3									
42134	4.4	14.1	11.4	17.2	58.0	29.0	13.8	10.6									
39943	40.5	31.9	16.7	1.4	4.4	19.2	22.0	20.3									
49245	26.4	26.9	22.6	2.0	4.9	18.0	18.7	33.3									
31748	11.5	38.0	37.1	0.6	1.6	23.7	23.6	16.7									
24815	31.8	17.7	10.9	0.4	2.8	72.4	15.4	0.3									
59787	17.8	14.8	15.8	2.0	1.7	18.2	39.2	42.0									
15547	16.9	12.0	7.6	0.8	4.9	29.0	51.4	21.3									
12162	8.0	5.6	1.7	8.0	61.0	35.0	15.0	8.6									
49016	65.3	50.1	23.1	1.3	0.8	0.1	0.4	1.1									
37483	2.5	2.4	6.1	1.1	6.0	33.6	64.3	25.1									
28771	53.5	15.1	27.1	1.1	0.9	6.6	11.1	14.6									
15983	13.1	6.7	3.9	4.8	9.1	33.3	26.8	28.1									
