FGYA1078.g1	FGYA-2.CPF_L6
FGYA1079.b1	FGYA-2.CPR_N6
FGYA1079.g1	FGYA-2.CPF_N6
FGYA1080.b1	FGYA-2.CPR_P6
FGYA1080.g1	FGYA-2.CPF_P6
FGYA1081.b1	FGYA-2.CPR_B8
FGYA1081.g1	FGYA-2.CPF_B8
FGYA1082.b1	FGYA-2.CPR_D8
FGYA1082.g1	FGYA-2.CPF_D8
FGYA1084.b1	FGYA-2.CPR_H8
FGYA1084.g1	FGYA-2.CPF_H8
FGYA1085.b1	FGYA-2.CPR_J8
FGYA1085.g1	FGYA-2.CPF_J8
FGYA1086.b1	FGYA-2.CPR_L8
FGYA1086.g1	FGYA-2.CPF_L8
FGYA1087.b1	FGYA-2.CPR_N8
FGYA1087.g1	FGYA-2.CPF_N8
FGYA1088.b1	FGYA-2.CPR_P8
FGYA1088.g1	FGYA-2.CPF_P8
FGYA1089.b1	FGYA-2.CPR_B10
FGYA1089.g1	FGYA-2.CPF_B10
FGYA1090.b1	FGYA-2.CPR_D10
FGYA1090.g1	FGYA-2.CPF_D10
FGYA1091.b1	FGYA-2.CPR_F10
FGYA1091.g1	FGYA-2.CPF_F10
FGYA1092.b1	FGYA-2.CPR_H10
FGYA1092.g1	FGYA-2.CPF_H10
FGYA1093.b1	FGYA-2.CPR_J10
FGYA1093.g1	FGYA-2.CPF_J10
FGYA1094.b1	FGYA-2.CPR_L10
FGYA1094.g1	FGYA-2.CPF_L10
FGYA1095.b1	FGYA-2.CPR_N10
FGYA1095.g1	FGYA-2.CPF_N10
FGYA1096.b1	FGYA-2.CPR_P10
FGYA1096.g1	FGYA-2.CPF_P10
FGYA1097.b1	FGYA-2.CPR_B12
FGYA1098.b1	FGYA-2.CPR_D12
FGYA1098.g1	FGYA-2.CPF_D12
FGYA1099.b1	FGYA-2.CPR_F12
FGYA1099.g1	FGYA-2.CPF_F12
FGYA1100.g1	FGYA-2.CPF_H12
FGYA1101.b1	FGYA-2.CPR_J12
FGYA1101.g1	FGYA-2.CPF_J12
FGYA1102.b1	FGYA-2.CPR_L12
FGYA1102.g1	FGYA-2.CPF_L12
FGYA1103.b1	FGYA-2.CPR_N12
FGYA1103.g1	FGYA-2.CPF_N12
FGYA1104.b1	FGYA-2.CPR_P12
FGYA1104.g1	FGYA-2.CPF_P12
FGYA1105.b1	FGYA-2.CPR_B14
FGYA1105.g1	FGYA-2.CPF_B14
FGYA1106.b1	FGYA-2.CPR_D14
FGYA1106.g1	FGYA-2.CPF_D14
FGYA1107.b1	FGYA-2.CPR_F14
FGYA1107.g1	FGYA-2.CPF_F14
FGYA1108.b1	FGYA-2.CPR_H14
FGYA1108.g1	FGYA-2.CPF_H14
FGYA1109.b1	FGYA-2.CPR_J14
FGYA1109.g1	FGYA-2.CPF_J14
FGYA1110.b1	FGYA-2.CPR_L14
FGYA1110.g1	FGYA-2.CPF_L14
FGYA1111.b1	FGYA-2.CPR_N14
FGYA1111.g1	FGYA-2.CPF_N14
FGYA1112.b1	FGYA-2.CPR_P14
FGYA1112.g1	FGYA-2.CPF_P14
FGYA1113.b1	FGYA-2.CPR_B16
FGYA1113.g1	FGYA-2.CPF_B16
FGYA1114.b1	FGYA-2.CPR_D16
FGYA1114.g1	FGYA-2.CPF_D16
FGYA1115.b1	FGYA-2.CPR_F16
FGYA1116.b1	FGYA-2.CPR_H16
FGYA1117.b1	FGYA-2.CPR_J16
FGYA1117.g1	FGYA-2.CPF_J16
FGYA1119.b1	FGYA-2.CPR_N16
FGYA1119.g1	FGYA-2.CPF_N16
FGYA1121.b1	FGYA-2.CPR_B18
FGYA1121.g1	FGYA-2.CPF_B18
FGYA1122.b1	FGYA-2.CPR_D18
FGYA1122.g1	FGYA-2.CPF_D18
FGYA1123.b1	FGYA-2.CPR_F18
FGYA1123.g1	FGYA-2.CPF_F18
FGYA1125.b1	FGYA-2.CPR_J18
FGYA1125.g1	FGYA-2.CPF_J18
FGYA1126.b1	FGYA-2.CPR_L18
FGYA1126.g1	FGYA-2.CPF_L18
FGYA1127.b1	FGYA-2.CPR_N18
FGYA1127.g1	FGYA-2.CPF_N18
FGYA1128.b1	FGYA-2.CPR_P18
FGYA1128.g1	FGYA-2.CPF_P18
FGYA1129.b1	FGYA-2.CPR_B20
FGYA1129.g1	FGYA-2.CPF_B20
FGYA1130.b1	FGYA-2.CPR_D20
FGYA1130.g1	FGYA-2.CPF_D20
FGYA1131.b1	FGYA-2.CPR_F20
FGYA1131.g1	FGYA-2.CPF_F20
FGYA1133.b1	FGYA-2.CPR_J20
FGYA1133.g1	FGYA-2.CPF_J20
FGYA1134.b1	FGYA-2.CPR_L20
FGYA1134.g1	FGYA-2.CPF_L20
FGYA1135.b1	FGYA-2.CPR_N20
FGYA1135.g1	FGYA-2.CPF_N20
FGYA1136.b1	FGYA-2.CPR_P20
FGYA1136.g1	FGYA-2.CPF_P20
FGYA1137.b1	FGYA-2.CPR_B22
FGYA1137.g1	FGYA-2.CPF_B22
FGYA1138.b1	FGYA-2.CPR_D22
FGYA1139.b1	FGYA-2.CPR_F22
FGYA1139.g1	FGYA-2.CPF_F22
FGYA1140.b1	FGYA-2.CPR_H22
FGYA1140.g1	FGYA-2.CPF_H22
FGYA1141.b1	FGYA-2.CPR_J22
